date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type,Hour,Day_of_Week,Month,Weekend,Power_Factor_Ratio,High_Load
1/1/2018 0:15,3.17,2.95,0,0,73.21,100,900,Weekday,Monday,Light_Load,0,Monday,January,Weekday,1.365933616,0
1/1/2018 0:30,4,4.46,0,0,66.77,100,1800,Weekday,Monday,Light_Load,0,Monday,January,Weekday,1.497678598,0
1/1/2018 0:45,3.24,3.28,0,0,70.28,100,2700,Weekday,Monday,Light_Load,0,Monday,January,Weekday,1.422879909,0
1/1/2018 1:00,3.31,3.56,0,0,68.09,100,3600,Weekday,Monday,Light_Load,1,Monday,January,Weekday,1.468644441,0
1/1/2018 1:15,3.82,4.5,0,0,64.72,100,4500,Weekday,Monday,Light_Load,1,Monday,January,Weekday,1.545117429,0
1/1/2018 1:30,3.28,3.56,0,0,67.76,100,5400,Weekday,Monday,Light_Load,1,Monday,January,Weekday,1.47579693,0
1/1/2018 1:45,3.6,4.14,0,0,65.62,100,6300,Weekday,Monday,Light_Load,1,Monday,January,Weekday,1.523925632,0
1/1/2018 2:00,3.6,4.28,0,0,64.37,100,7200,Weekday,Monday,Light_Load,2,Monday,January,Weekday,1.55351872,0
1/1/2018 2:15,3.28,3.64,0,0,66.94,100,8100,Weekday,Monday,Light_Load,2,Monday,January,Weekday,1.493875112,0
1/1/2018 2:30,3.78,4.72,0,0,62.51,100,9000,Weekday,Monday,Light_Load,2,Monday,January,Weekday,1.599744041,0
1/1/2018 2:45,3.46,4.03,0,0,65.14,100,9900,Weekday,Monday,Light_Load,2,Monday,January,Weekday,1.535155051,0
1/1/2018 3:00,3.24,3.64,0,0,66.49,100,10800,Weekday,Monday,Light_Load,3,Monday,January,Weekday,1.503985562,0
1/1/2018 3:15,3.96,4.97,0,0,62.32,100,11700,Weekday,Monday,Light_Load,3,Monday,January,Weekday,1.604621309,0
1/1/2018 3:30,3.31,3.74,0,0,66.27,100,12600,Weekday,Monday,Light_Load,3,Monday,January,Weekday,1.508978422,0
1/1/2018 3:45,3.31,3.85,0,0,65.19,100,13500,Weekday,Monday,Light_Load,3,Monday,January,Weekday,1.533977604,0
1/1/2018 4:00,3.89,5,0,0,61.4,100,14400,Weekday,Monday,Light_Load,4,Monday,January,Weekday,1.628664495,0
1/1/2018 4:15,3.28,3.82,0,0,65.14,100,15300,Weekday,Monday,Light_Load,4,Monday,January,Weekday,1.535155051,0
1/1/2018 4:30,3.56,4.28,0,0,63.95,100,16200,Weekday,Monday,Light_Load,4,Monday,January,Weekday,1.563721658,0
1/1/2018 4:45,3.74,4.54,0,0,63.58,100,17100,Weekday,Monday,Light_Load,4,Monday,January,Weekday,1.572821642,0
1/1/2018 5:00,3.31,3.6,0,0,67.68,100,18000,Weekday,Monday,Light_Load,5,Monday,January,Weekday,1.477541371,0
1/1/2018 5:15,3.56,4.07,0,0,65.84,100,18900,Weekday,Monday,Light_Load,5,Monday,January,Weekday,1.518833536,0
1/1/2018 5:30,3.56,4.1,0,0,65.56,100,19800,Weekday,Monday,Light_Load,5,Monday,January,Weekday,1.525320317,0
1/1/2018 5:45,3.28,3.49,0,0,68.48,100,20700,Weekday,Monday,Light_Load,5,Monday,January,Weekday,1.460280374,0
1/1/2018 6:00,3.78,4.32,0,0,65.85,100,21600,Weekday,Monday,Light_Load,6,Monday,January,Weekday,1.518602885,0
1/1/2018 6:15,3.35,3.64,0,0,67.72,100,22500,Weekday,Monday,Light_Load,6,Monday,January,Weekday,1.476668636,0
1/1/2018 6:30,3.24,3.35,0,0,69.52,100,23400,Weekday,Monday,Light_Load,6,Monday,January,Weekday,1.438434983,0
1/1/2018 6:45,3.89,4.46,0,0,65.73,100,24300,Weekday,Monday,Light_Load,6,Monday,January,Weekday,1.521375323,0
